id_client,id_compte,role_client,date_debut,date_fin
78,1,titulaire,2024-03-29,2026-08-24
61,1,cotitulaire,2022-02-01,2023-04-05
44,2,titulaire,2022-03-16,2023-06-10
32,3,cotitulaire,2025-07-18,2028-07-11
68,4,titulaire,2022-07-25,2025-04-09
67,4,cotitulaire,2025-02-04,2027-02-11
50,5,titulaire,2023-10-28,2025-10-08
53,5,cotitulaire,2021-07-24,2024-04-30
43,6,cotitulaire,2024-05-01,2025-08-05
33,7,titulaire,2021-03-24,2024-01-25
93,7,titulaire,2022-01-29,2024-01-05
45,8,cotitulaire,2023-07-18,2025-05-30
77,9,titulaire,2021-03-11,2024-03-05
72,10,cotitulaire,2022-12-20,2025-10-08
49,10,titulaire,2025-05-08,2026-09-15
66,11,cotitulaire,2025-04-18,2026-05-06
47,11,titulaire,2024-10-31,2026-09-12
44,12,titulaire,2022-07-08,2024-11-16
18,13,titulaire,2021-05-24,2022-10-29
13,14,titulaire,2023-04-01,2025-10-04
65,14,cotitulaire,2022-10-23,2025-08-30
77,15,titulaire,2022-06-03,2024-06-22
24,16,titulaire,2024-11-20,2027-10-30
6,17,titulaire,2024-08-30,2026-09-07
53,17,cotitulaire,2022-03-06,2024-06-02
30,18,cotitulaire,2022-10-21,2024-06-21
69,18,titulaire,2025-10-28,2028-02-20
87,19,cotitulaire,2025-12-14,2028-03-09
74,19,cotitulaire,2024-11-04,2026-08-19
21,20,titulaire,2024-08-17,2027-04-28
26,20,titulaire,2023-09-12,2025-05-25
48,21,titulaire,2024-12-11,2026-03-26
71,21,titulaire,2021-09-19,2023-07-07
35,22,titulaire,2025-08-17,2027-11-20
12,23,cotitulaire,2021-01-30,2023-05-06
29,23,cotitulaire,2023-09-03,2024-09-29
51,24,cotitulaire,2024-02-22,2026-07-20
50,25,cotitulaire,2024-06-06,2025-08-28
4,26,titulaire,2021-01-04,2022-11-26
19,27,cotitulaire,2022-08-22,2023-09-30
18,27,titulaire,2024-10-04,2027-01-30
58,28,titulaire,2022-11-05,2023-11-10
79,28,cotitulaire,2024-08-27,2025-09-15
20,29,cotitulaire,2022-07-02,2025-01-13
100,30,titulaire,2021-12-27,2023-10-18
16,31,cotitulaire,2025-11-18,2027-07-20
7,31,cotitulaire,2023-01-24,2025-11-08
15,32,titulaire,2025-10-09,2028-03-03
92,33,cotitulaire,2025-10-29,2027-03-25
1,34,titulaire,2021-09-04,2023-08-31
79,34,cotitulaire,2022-05-13,2024-12-17
86,35,titulaire,2021-03-08,2024-01-21
9,36,titulaire,2022-02-13,2024-08-23
68,36,cotitulaire,2025-03-11,2027-04-14
82,37,cotitulaire,2023-01-11,2025-02-10
96,38,titulaire,2025-06-11,2027-06-11
3,38,titulaire,2023-04-04,2025-03-22
99,39,cotitulaire,2024-09-14,2027-05-02
6,40,cotitulaire,2023-11-14,2025-11-08
100,41,cotitulaire,2023-06-29,2026-05-30
81,42,titulaire,2024-02-25,2025-07-12
24,42,titulaire,2022-12-08,2025-03-20
26,43,titulaire,2023-12-04,2025-06-25
6,43,cotitulaire,2021-04-10,2023-02-27
70,44,titulaire,2024-04-11,2025-12-26
61,44,titulaire,2021-08-13,2024-06-05
46,45,cotitulaire,2022-06-03,2023-07-21
100,45,titulaire,2025-03-21,2026-12-25
56,46,cotitulaire,2025-08-05,2027-10-29
52,46,titulaire,2022-12-05,2024-11-16
89,47,cotitulaire,2025-02-14,2027-02-25
64,47,cotitulaire,2022-08-06,2023-10-29
56,48,titulaire,2023-03-25,2025-11-30
42,49,cotitulaire,2022-02-17,2023-05-09
14,49,cotitulaire,2025-09-06,2028-07-13
58,50,titulaire,2021-08-23,2023-11-02
78,50,cotitulaire,2024-10-25,2027-10-01
58,51,cotitulaire,2021-07-05,2023-07-01
6,51,titulaire,2021-06-29,2023-04-06
86,52,cotitulaire,2023-03-19,2025-12-30
66,53,titulaire,2022-07-14,2025-06-08
96,53,titulaire,2021-07-26,2022-08-26
5,54,titulaire,2022-10-03,2023-12-10
17,54,cotitulaire,2024-10-25,2027-08-16
50,55,titulaire,2023-03-23,2024-04-24
73,55,cotitulaire,2023-04-13,2026-03-08
48,56,titulaire,2025-03-24,2026-06-10
57,56,cotitulaire,2021-06-01,2023-11-25
41,57,titulaire,2025-01-01,2026-10-13
84,57,titulaire,2022-06-26,2023-10-20
64,58,cotitulaire,2024-06-27,2026-12-09
34,59,cotitulaire,2023-12-25,2025-09-16
79,60,cotitulaire,2022-01-14,2023-11-02
