id_scoring,type_score,date_scoring,valeur_score,commentaire,id_compte,id_foyer
1,compte,2025-12-19,798,Éviter secret sentier composer nord riche.,1.0,
2,compte,2025-11-19,477,Tenter âme précis trou moindre moindre.,1.0,
3,compte,2025-10-19,801,Seconde robe victime médecin complètement.,1.0,
4,compte,2025-09-19,491,Beau dehors dame.,1.0,
5,compte,2025-08-19,761,Jaune éprouver oreille rideau étaler compte révéler.,1.0,
6,compte,2025-07-19,667,Attaquer chef près chanter ça mal.,1.0,
7,compte,2025-06-19,796,Veiller faveur trente forcer bon elle.,1.0,
8,compte,2025-05-19,693,Vif puis haïr passage.,1.0,
9,compte,2025-04-19,817,Pencher compagnon vêtement pourquoi tour reprendre davantage.,1.0,
10,compte,2025-03-19,718,Rompre feu puissance écouter compte abattre premier mot.,1.0,
11,compte,2025-02-19,725,Ancien observer titre verser dans moitié traiter.,1.0,
12,compte,2025-01-19,754,Éprouver avec étonner ensemble.,1.0,
13,compte,2024-12-19,384,Sac plaisir protéger espoir.,1.0,
14,compte,2024-11-19,525,Discussion désirer aussi.,1.0,
15,compte,2024-10-19,581,Reprendre prochain arme haut gens.,1.0,
16,compte,2024-09-19,595,Sourire larme feu même.,1.0,
17,compte,2024-08-19,768,Santé résistance naissance rayon.,1.0,
18,compte,2024-07-19,807,Clef autrefois sentiment écraser énorme.,1.0,
19,compte,2024-06-19,415,Autrement commencement fenêtre puis.,1.0,
20,compte,2024-05-19,574,Trembler vin est voici suivant préparer groupe.,1.0,
21,compte,2024-04-19,675,Officier habitant art éprouver.,1.0,
22,compte,2024-03-19,342,Fruit mien ton matin petit.,1.0,
23,compte,2024-02-19,751,Demeurer armer mort secrétaire chiffre.,1.0,
24,compte,2024-01-19,735,Absolu battre saisir par jeune blanc.,1.0,
25,compte,2023-12-19,553,Commencer éclairer avouer sembler en.,1.0,
26,compte,2023-11-19,333,Intérieur supérieur discussion passion fixe fatiguer.,1.0,
27,compte,2023-10-19,656,Famille hiver direction inquiétude début distinguer.,1.0,
28,compte,2023-09-19,389,Cheval poussière blanc plaindre.,1.0,
29,compte,2023-08-19,420,Garde rapporter décider attendre finir maintenant verre.,1.0,
30,compte,2023-07-19,542,Mot demain égal force si angoisse mort.,1.0,
31,compte,2023-06-19,659,Réussir plutôt page cas rassurer commun vivre.,1.0,
32,compte,2023-05-19,738,Rire celui goût voir habitude.,1.0,
33,compte,2023-04-19,442,Chemin nourrir ensemble propos rien bataille militaire métier.,1.0,
34,compte,2023-03-19,511,Lutter terre action précis noir.,1.0,
35,compte,2023-02-19,659,Cacher cher mon ne vérité bois.,1.0,
36,compte,2023-01-19,472,Moi bon du mari.,1.0,
37,compte,2025-12-19,599,Soudain discours père mort interrompre comment.,2.0,
38,compte,2025-11-19,573,Charger oh pourquoi apparaître subir éprouver.,2.0,
39,compte,2025-10-19,826,Armer inviter distinguer fauteuil essuyer.,2.0,
40,compte,2025-09-19,397,Endormir semblable signifier politique vie.,2.0,
41,compte,2025-08-19,721,Chacun vieux heure saluer divers.,2.0,
42,compte,2025-07-19,583,Odeur beau herbe tenir froid joue.,2.0,
43,compte,2025-06-19,429,Soit sable lui cinquante endormir lit chair.,2.0,
44,compte,2025-05-19,435,Souffrance amener contre savoir seconde désirer imaginer.,2.0,
45,compte,2025-04-19,629,Près dont saint lire partie ceci.,2.0,
46,compte,2025-03-19,702,Depuis juger homme.,2.0,
47,compte,2025-02-19,575,Noir étranger coin sujet quoi poser droite.,2.0,
48,compte,2025-01-19,684,Armer si renoncer croix danser debout.,2.0,
49,compte,2024-12-19,395,Divers fruit ah renoncer regard.,2.0,
50,compte,2024-11-19,584,Inventer cerveau compagnie.,2.0,
51,compte,2024-10-19,677,De oh très.,2.0,
52,compte,2024-09-19,799,Goutte ferme étrange détacher instant.,2.0,
53,compte,2024-08-19,302,Saison forme bonheur longtemps peur semblable femme.,2.0,
54,compte,2024-07-19,395,Oiseau égal brûler au voir passé situation digne.,2.0,
55,compte,2024-06-19,769,Consulter l'une dépasser assez signer.,2.0,
56,compte,2024-05-19,666,Français ensemble changement ajouter lettre écrire tapis franchir.,2.0,
57,compte,2024-04-19,847,Nécessaire vous rose.,2.0,
58,compte,2024-03-19,739,Prononcer d'autres marcher réponse tapis plante.,2.0,
59,compte,2024-02-19,806,Eh commencement personne mince école intérieur que.,2.0,
60,compte,2024-01-19,590,Recueillir confondre poète espoir beau examiner quelqu'un.,2.0,
61,compte,2023-12-19,433,Geste souvenir faute nez inquiéter.,2.0,
62,compte,2023-11-19,796,Intérêt soirée nerveux triste.,2.0,
63,compte,2023-10-19,349,Interroger corde cas point.,2.0,
64,compte,2023-09-19,978,Égal article si chaleur couleur fruit monter.,2.0,
65,compte,2023-08-19,461,Charge six condition avoir escalier voilà enfant.,2.0,
66,compte,2023-07-19,300,Absolument donner réclamer comme.,2.0,
67,compte,2023-06-19,738,Jusque reculer battre oser.,2.0,
68,compte,2023-05-19,435,Français verre fille apercevoir couler faux.,2.0,
69,compte,2023-04-19,609,Suite rare manier.,2.0,
70,compte,2023-03-19,580,Plusieurs parcourir désir.,2.0,
71,compte,2023-02-19,669,Énergie bord lier empire aucun après.,2.0,
72,compte,2023-01-19,680,Image machine mais habitant porte.,2.0,
73,compte,2025-12-19,469,Été table expérience consulter.,3.0,
74,compte,2025-11-19,612,Agir de vivre cri aile ligne.,3.0,
75,compte,2025-10-19,539,Faim pendre annoncer sortir.,3.0,
76,compte,2025-09-19,393,Rejoindre papier notre arme brûler.,3.0,
77,compte,2025-08-19,301,Arme campagne hier.,3.0,
78,compte,2025-07-19,379,Menacer inventer chien pourtant.,3.0,
79,compte,2025-06-19,531,Accrocher glace bon machine papa précis genre surprendre.,3.0,
80,compte,2025-05-19,812,Prison caractère calme briller coucher couleur direction.,3.0,
81,compte,2025-04-19,651,Vieil existence fuir clair mener témoin portier.,3.0,
82,compte,2025-03-19,732,Époque absence planche tapis sec plaire cher.,3.0,
83,compte,2025-02-19,789,Rendre avance profond tandis que.,3.0,
84,compte,2025-01-19,692,Imaginer ville discours arracher rôle.,3.0,
85,compte,2024-12-19,404,Seul expliquer plusieurs.,3.0,
86,compte,2024-11-19,676,Quarante bien rayon après seul phrase.,3.0,
87,compte,2024-10-19,440,Envoyer sujet user distinguer.,3.0,
88,compte,2024-09-19,436,Fauteuil été calme fou.,3.0,
89,compte,2024-08-19,446,Dominer fin servir réunir peine retomber calme.,3.0,
