id_operation,reference,libelle_operation,date_operation,date_comptable,montant,sens,type_operation,statut_operation,id_compte
1,OP000001,Rêve.,2025-12-03,2025-12-03,1282,CREDIT,retrait,en attente,1
2,OP000002,Accompagner âme groupe.,2025-12-05,2025-12-05,895,CREDIT,retrait,en attente,1
3,OP000003,Sans froid vieillard.,2025-12-09,2025-12-09,569,CREDIT,virement,valide,1
4,OP000004,Petit conversation.,2025-12-05,2025-12-05,488,CREDIT,versement,valide,1
5,OP000005,Hauteur frapper.,2025-11-17,2025-11-17,613,DEBIT,retrait,valide,1
6,OP000006,Éclater pourquoi.,2025-11-16,2025-11-16,252,DEBIT,retrait,valide,1
7,OP000007,Objet premier beauté.,2025-11-02,2025-11-02,420,CREDIT,virement,en attente,1
8,OP000008,Éclater défaut.,2025-11-11,2025-11-11,629,CREDIT,virement,valide,1
9,OP000009,Soit vieux environ.,2025-09-26,2025-09-26,1122,CREDIT,virement,en attente,1
10,OP000010,Séparer exprimer fonction.,2025-10-10,2025-10-10,1694,CREDIT,retrait,en attente,1
11,OP000011,Masse.,2025-09-23,2025-09-23,1197,DEBIT,retrait,valide,1
12,OP000012,Contenter remercier conduire.,2025-09-22,2025-09-22,824,DEBIT,virement,valide,1
13,OP000013,Main.,2025-10-04,2025-10-04,488,CREDIT,versement,en attente,1
14,OP000014,Demain maison.,2025-08-25,2025-08-25,185,CREDIT,virement,en attente,1
15,OP000015,Rôle encore.,2025-08-26,2025-08-26,1939,CREDIT,virement,en attente,1
16,OP000016,Un noire fermer arracher.,2025-09-05,2025-09-05,1756,DEBIT,retrait,valide,1
17,OP000017,Lourd rassurer.,2025-09-01,2025-09-01,1799,DEBIT,retrait,valide,1
18,OP000018,Milieu durer eau.,2025-07-25,2025-07-25,1359,CREDIT,retrait,valide,1
19,OP000019,Docteur.,2025-08-06,2025-08-06,881,CREDIT,versement,en attente,1
20,OP000020,Visible tranquille mal.,2025-08-09,2025-08-09,1212,DEBIT,versement,valide,1
21,OP000021,Espace chambre.,2025-08-15,2025-08-15,324,CREDIT,versement,en attente,1
22,OP000022,Casser moins déposer.,2025-07-13,2025-07-13,1952,CREDIT,virement,en attente,1
23,OP000023,Or soirée cinq.,2025-07-13,2025-07-13,982,DEBIT,retrait,en attente,1
24,OP000024,Craindre aile paysage échapper.,2025-06-29,2025-06-29,1842,CREDIT,virement,valide,1
25,OP000025,Trésor auteur.,2025-07-16,2025-07-16,1392,DEBIT,virement,en attente,1
26,OP000026,Barbe cou.,2025-06-14,2025-06-14,417,DEBIT,retrait,en attente,1
27,OP000027,Épaule haut oncle.,2025-06-13,2025-06-13,487,CREDIT,versement,valide,1
28,OP000028,Assez.,2025-06-05,2025-06-05,127,CREDIT,versement,valide,1
29,OP000029,Conseil foule renverser.,2025-05-09,2025-05-09,1770,CREDIT,retrait,valide,1
30,OP000030,Jouer travail assez.,2025-05-16,2025-05-16,274,CREDIT,retrait,valide,1
31,OP000031,Traverser étrange.,2025-05-07,2025-05-07,1966,DEBIT,virement,valide,1
32,OP000032,Vieux hésiter autrefois.,2025-04-06,2025-04-06,1685,CREDIT,virement,en attente,1
33,OP000033,Brusquement représenter droite.,2025-04-01,2025-04-01,425,CREDIT,retrait,valide,1
34,OP000034,Fort île.,2025-04-19,2025-04-19,302,CREDIT,virement,en attente,1
35,OP000035,Vrai oeuvre revoir.,2025-03-31,2025-03-31,1663,DEBIT,versement,en attente,1
36,OP000036,Quelque prix.,2025-03-04,2025-03-04,952,CREDIT,versement,valide,1
37,OP000037,Doigt obliger.,2025-02-24,2025-02-24,196,CREDIT,versement,en attente,1
38,OP000038,D'Abord aventure glisser.,2025-03-08,2025-03-08,1444,CREDIT,retrait,valide,1
39,OP000039,Envoyer humide vision.,2025-03-06,2025-03-06,520,DEBIT,versement,en attente,1
40,OP000040,Amour odeur.,2025-03-05,2025-03-05,797,DEBIT,versement,valide,1
41,OP000041,Diriger aimer coeur.,2025-01-28,2025-01-28,1946,DEBIT,virement,valide,1
42,OP000042,Sourd douleur effort ministre.,2025-02-11,2025-02-11,1817,CREDIT,versement,valide,1
43,OP000043,Champ seigneur honneur.,2025-01-28,2025-01-28,1497,DEBIT,retrait,en attente,1
44,OP000044,Doute cause plonger.,2025-01-26,2025-01-26,1142,DEBIT,retrait,valide,1
45,OP000045,Journal réflexion madame.,2025-01-03,2025-01-03,1579,CREDIT,retrait,en attente,1
46,OP000046,Occuper nécessaire observer.,2025-01-14,2025-01-14,527,DEBIT,versement,valide,1
47,OP000047,Propos.,2025-01-05,2025-01-05,64,DEBIT,versement,en attente,1
48,OP000048,Lune dehors tendre.,2024-12-09,2024-12-09,1537,CREDIT,virement,en attente,1
49,OP000049,Causer pour.,2024-12-18,2024-12-18,31,CREDIT,virement,valide,1
50,OP000050,Nerveux queue surtout.,2024-12-09,2024-12-09,1382,CREDIT,retrait,en attente,1
51,OP000051,Ombre porte.,2024-12-17,2024-12-17,179,DEBIT,versement,en attente,1
52,OP000052,Difficile doute.,2024-11-04,2024-11-04,1690,CREDIT,virement,valide,1
53,OP000053,Arriver chambre eh.,2024-10-24,2024-10-24,46,DEBIT,virement,en attente,1
54,OP000054,Promettre jeune fusil.,2024-11-16,2024-11-16,1104,CREDIT,virement,valide,1
55,OP000055,Obliger détail.,2024-09-25,2024-09-25,32,CREDIT,virement,en attente,1
56,OP000056,Mentir douceur.,2024-10-08,2024-10-08,374,DEBIT,versement,valide,1
57,OP000057,Imaginer violent.,2024-09-28,2024-09-28,1100,DEBIT,retrait,valide,1
58,OP000058,Descendre ceci détail retour.,2024-09-23,2024-09-23,1310,DEBIT,retrait,en attente,1
59,OP000059,Hors comme.,2024-10-05,2024-10-05,117,DEBIT,virement,en attente,1
60,OP000060,Traverser amuser enfermer.,2024-09-12,2024-09-12,777,DEBIT,virement,valide,1
61,OP000061,Tu oiseau camarade.,2024-09-19,2024-09-19,873,DEBIT,virement,en attente,1
62,OP000062,Répondre.,2024-08-24,2024-08-24,403,DEBIT,virement,valide,1
63,OP000063,Mari jeune à.,2024-08-14,2024-08-14,1492,DEBIT,virement,en attente,1
64,OP000064,Existence briller moyen.,2024-08-03,2024-08-03,230,CREDIT,retrait,valide,1
65,OP000065,Cuisine révéler parent voici.,2024-07-31,2024-07-31,434,CREDIT,retrait,valide,1
66,OP000066,Vert humide or.,2024-08-12,2024-08-12,447,DEBIT,retrait,en attente,1
67,OP000067,Poste émotion plusieurs.,2024-08-14,2024-08-14,40,CREDIT,versement,en attente,1
68,OP000068,Rompre beaux visite.,2024-07-07,2024-07-07,445,CREDIT,virement,valide,1
69,OP000069,Auquel français frère.,2024-06-28,2024-06-28,1679,CREDIT,versement,en attente,1
70,OP000070,Puissant servir fumer.,2024-07-18,2024-07-18,147,DEBIT,retrait,en attente,1
71,OP000071,Tâche retenir réfléchir.,2024-06-04,2024-06-04,218,DEBIT,retrait,valide,1
72,OP000072,Couvrir marche depuis.,2024-05-31,2024-05-31,674,CREDIT,versement,valide,1
73,OP000073,Chaque retrouver.,2024-06-09,2024-06-09,369,CREDIT,versement,en attente,1
74,OP000074,Embrasser route.,2024-06-17,2024-06-17,696,DEBIT,versement,en attente,1
75,OP000075,Glisser allumer détail.,2024-06-07,2024-06-07,1056,DEBIT,versement,valide,1
76,OP000076,Faim salle mon.,2024-05-19,2024-05-19,1272,DEBIT,retrait,valide,1
77,OP000077,Amour enfance fonder.,2024-04-26,2024-04-26,887,DEBIT,versement,valide,1
78,OP000078,Véritable révéler.,2024-05-18,2024-05-18,291,CREDIT,retrait,en attente,1
79,OP000079,Vers pendant.,2024-04-15,2024-04-15,779,DEBIT,versement,valide,1
80,OP000080,Bord brusquement.,2024-04-12,2024-04-12,1901,CREDIT,versement,en attente,1
81,OP000081,Fidèle arme mauvais.,2024-04-15,2024-04-15,579,CREDIT,versement,valide,1
